DN,objectClass,distinguishedName,instanceType,whenCreated,whenChanged,subRefs,uSNCreated,dSASignature,uSNChanged,name,objectGUID,creationTime,forceLogoff,lockoutDuration,lockOutObservationWindow,lockoutThreshold,maxPwdAge,minPwdAge,minPwdLength,modifiedCountAtLastProm,nextRid,pwdProperties,pwdHistoryLength,objectSid,serverState,uASCompat,modifiedCount,auditingPolicy,nTMixedDomain,rIDManagerReference,fSMORoleOwner,systemFlags,wellKnownObjects,objectCategory,isCriticalSystemObject,gPLink,dSCorePropagationData,otherWellKnownObjects,masteredBy,ms-DS-MachineAccountQuota,msDS-Behavior-Version,msDS-PerUserTrustQuota,msDS-AllUsersTrustQuota,msDS-PerUserTrustTombstonesQuota,msDs-masteredBy,msDS-IsDomainFor,msDS-NcType,dc,cn,description,showInAdvancedViewOnly,ou,msDS-TombstoneQuotaFactor,displayName,flags,versionNumber,gPCFunctionalityVersion,gPCFileSysPath,gPCMachineExtensionNames,ipsecName,ipsecID,ipsecDataType,ipsecData,ipsecISAKMPReference,ipsecNFAReference,ipsecOwnersReference,ipsecNegotiationPolicyReference,ipsecFilterReference,iPSECNegotiationPolicyType,iPSECNegotiationPolicyAction,revision,memberOf,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,logonHours,pwdLastSet,primaryGroupID,adminCount,accountExpires,logonCount,sAMAccountName,sAMAccountType,lastLogonTimestamp,groupType,member,samDomainUpdates,localPolicyFlags,operatingSystem,operatingSystemVersion,serverReferenceBL,dNSHostName,rIDSetReferences,servicePrincipalName,msDS-AdditionalDnsHostName,msDS-SupportedEncryptionTypes,msDS-GenerationId,msDFSR-ComputerReferenceBL,rIDAvailablePool,rIDAllocationPool,rIDPreviousAllocationPool,rIDUsedPool,rIDNextRID,dnsRecord,msDFSR-Flags,msDFSR-ReplicationGroupType,msDFSR-FileFilter,msDFSR-DirectoryFilter,serverReference,msDFSR-ComputerReference,msDFSR-MemberReferenceBL,msDFSR-Version,msDFSR-ReplicationGroupGuid,msDFSR-MemberReference,msDFSR-RootPath,msDFSR-StagingPath,msDFSR-Enabled,msDFSR-Options,msDFSR-ContentSetGuid,msDFSR-ReadOnly,sn,physicalDeliveryOfficeName,telephoneNumber,givenName,department,userPrincipalName,mail
"CN=AdminSDHolder,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=AdminSDHolder,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018181611.0Z,,5865,,16473,AdminSDHolder,X'a24a98e32aa1a7458de8bddcf49d332e',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221022180057.0Z;20221022170057.0Z;20221022160057.0Z;20221022150057.0Z;16010101000000.0Z,,,,,,,,,,,,AdminSDHolder,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ComPartitions,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=ComPartitions,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5866,,5866,ComPartitions,X'7f3e4517b57ed74a849b21f2427d295f',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,ComPartitions,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ComPartitionSets,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=ComPartitionSets,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5867,,5867,ComPartitionSets,X'bc9ed36cf90e184a9b53aecfcafac6a5',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",TRUE,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,ComPartitionSets,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=WMIPolicy,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=WMIPolicy,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5868,,5868,WMIPolicy,X'c8f40571785b10409b9d909bc5d0aae3',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000000.0Z,,,,,,,,,,,,WMIPolicy,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=PolicyTemplate,CN=WMIPolicy,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=PolicyTemplate,CN=WMIPolicy,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5869,,5869,PolicyTemplate,X'87d787f529be4149a3e94fb31081e5d4',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,16010101000000.0Z,,,,,,,,,,,,PolicyTemplate,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=SOM,CN=WMIPolicy,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=SOM,CN=WMIPolicy,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5870,,5870,SOM,X'ac0ef0e71d64a6439d9e6dfe91b04a08',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,16010101000000.0Z,,,,,,,,,,,,SOM,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=PolicyType,CN=WMIPolicy,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=PolicyType,CN=WMIPolicy,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5871,,5871,PolicyType,X'df413109176eff4ca629d213e65fa7c5',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,16010101000000.0Z,,,,,,,,,,,,PolicyType,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=WMIGPO,CN=WMIPolicy,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=WMIGPO,CN=WMIPolicy,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5872,,5872,WMIGPO,X'382326dc70520f4d8c36eeeb8fe98659',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,16010101000000.0Z,,,,,,,,,,,,WMIGPO,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5873,,5873,DomainUpdates,X'2fa7c0f9cf54914eb83ef5dc5e9faad5',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,DomainUpdates,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5874,,5874,Operations,X'99ca695e6ca6d8418d3099ad7a917775',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,Operations,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ab402345-d3c3-455d-9ff7-40268a1099b6,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=ab402345-d3c3-455d-9ff7-40268a1099b6,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5875,,5875,ab402345-d3c3-455d-9ff7-40268a1099b6,X'fe3e38b2cc6d7c4abc179cc65f03d6e2',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,ab402345-d3c3-455d-9ff7-40268a1099b6,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=bab5f54d-06c8-48de-9b87-d78b796564e4,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=bab5f54d-06c8-48de-9b87-d78b796564e4,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5876,,5876,bab5f54d-06c8-48de-9b87-d78b796564e4,X'417da9c7d8444b439dbf9921b5a9c868',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,bab5f54d-06c8-48de-9b87-d78b796564e4,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=f3dd09dd-25e8-4f9c-85df-12d6d2f2f2f5,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=f3dd09dd-25e8-4f9c-85df-12d6d2f2f2f5,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5877,,5877,f3dd09dd-25e8-4f9c-85df-12d6d2f2f2f5,X'885da02c3d30c34ebbc72d1bc26923be',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,f3dd09dd-25e8-4f9c-85df-12d6d2f2f2f5,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=2416c60a-fe15-4d7a-a61e-dffd5df864d3,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=2416c60a-fe15-4d7a-a61e-dffd5df864d3,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5878,,5878,2416c60a-fe15-4d7a-a61e-dffd5df864d3,X'285eed3faa60e749a62bcda0e3c54d9d',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,2416c60a-fe15-4d7a-a61e-dffd5df864d3,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=7868d4c8-ac41-4e05-b401-776280e8e9f1,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=7868d4c8-ac41-4e05-b401-776280e8e9f1,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5879,,5879,7868d4c8-ac41-4e05-b401-776280e8e9f1,X'e909d4b4ee9258428e3d5922d23a3358',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,7868d4c8-ac41-4e05-b401-776280e8e9f1,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=860c36ed-5241-4c62-a18b-cf6ff9994173,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=860c36ed-5241-4c62-a18b-cf6ff9994173,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5880,,5880,860c36ed-5241-4c62-a18b-cf6ff9994173,X'27df22936c47f84cb0f682b2b3a65fd9',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,860c36ed-5241-4c62-a18b-cf6ff9994173,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=0e660ea3-8a5e-4495-9ad7-ca1bd4638f9e,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=0e660ea3-8a5e-4495-9ad7-ca1bd4638f9e,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5881,,5881,0e660ea3-8a5e-4495-9ad7-ca1bd4638f9e,X'a5ff32cdab4c7847b54361626948e57a',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,0e660ea3-8a5e-4495-9ad7-ca1bd4638f9e,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=a86fe12a-0f62-4e2a-b271-d27f601f8182,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=a86fe12a-0f62-4e2a-b271-d27f601f8182,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5882,,5882,a86fe12a-0f62-4e2a-b271-d27f601f8182,X'75c0198f8b4dd3438a5b600f61ae56e5',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,a86fe12a-0f62-4e2a-b271-d27f601f8182,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=d85c0bfd-094f-4cad-a2b5-82ac9268475d,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=d85c0bfd-094f-4cad-a2b5-82ac9268475d,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5883,,5883,d85c0bfd-094f-4cad-a2b5-82ac9268475d,X'7b5289ce8bee034798fb47e9bd48a706',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,d85c0bfd-094f-4cad-a2b5-82ac9268475d,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=6ada9ff7-c9df-45c1-908e-9fef2fab008a,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=6ada9ff7-c9df-45c1-908e-9fef2fab008a,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5884,,5884,6ada9ff7-c9df-45c1-908e-9fef2fab008a,X'352ce4266a96934d83ad393f2b5f8128',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,6ada9ff7-c9df-45c1-908e-9fef2fab008a,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=10b3ad2a-6883-4fa7-90fc-6377cbdc1b26,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=10b3ad2a-6883-4fa7-90fc-6377cbdc1b26,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5885,,5885,10b3ad2a-6883-4fa7-90fc-6377cbdc1b26,X'adab50d1511d9342bd1d323156e19754',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,10b3ad2a-6883-4fa7-90fc-6377cbdc1b26,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=98de1d3e-6611-443b-8b4e-f4337f1ded0b,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=98de1d3e-6611-443b-8b4e-f4337f1ded0b,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5886,,5886,98de1d3e-6611-443b-8b4e-f4337f1ded0b,X'491429474c63294ca36469f6fac807f5',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,98de1d3e-6611-443b-8b4e-f4337f1ded0b,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=f607fd87-80cf-45e2-890b-6cf97ec0e284,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=f607fd87-80cf-45e2-890b-6cf97ec0e284,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5887,,5887,f607fd87-80cf-45e2-890b-6cf97ec0e284,X'9c628ea46e8be6409dbb8a1ffde87ed3',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,f607fd87-80cf-45e2-890b-6cf97ec0e284,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=9cac1f66-2167-47ad-a472-2a13251310e4,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=9cac1f66-2167-47ad-a472-2a13251310e4,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5888,,5888,9cac1f66-2167-47ad-a472-2a13251310e4,X'6441815d8c34a6438af5c1b343206dea',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,9cac1f66-2167-47ad-a472-2a13251310e4,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=6ff880d6-11e7-4ed1-a20f-aac45da48650,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=6ff880d6-11e7-4ed1-a20f-aac45da48650,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5889,,5889,6ff880d6-11e7-4ed1-a20f-aac45da48650,X'a668ca37d20e60458a8be1680188c774',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,6ff880d6-11e7-4ed1-a20f-aac45da48650,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=446f24ea-cfd5-4c52-8346-96e170bcb912,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=446f24ea-cfd5-4c52-8346-96e170bcb912,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5890,,5890,446f24ea-cfd5-4c52-8346-96e170bcb912,X'd38a194da5592c4b953afdfba4b807f3',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,446f24ea-cfd5-4c52-8346-96e170bcb912,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=51cba88b-99cf-4e16-bef2-c427b38d0767,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=51cba88b-99cf-4e16-bef2-c427b38d0767,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5891,,5891,51cba88b-99cf-4e16-bef2-c427b38d0767,X'baf7f78408bb27479467faf973bcb279',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,51cba88b-99cf-4e16-bef2-c427b38d0767,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=a3dac986-80e7-4e59-a059-54cb1ab43cb9,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=a3dac986-80e7-4e59-a059-54cb1ab43cb9,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5892,,5892,a3dac986-80e7-4e59-a059-54cb1ab43cb9,X'827c77095fb25f46b8092015a40218d1',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,a3dac986-80e7-4e59-a059-54cb1ab43cb9,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=293f0798-ea5c-4455-9f5d-45f33a30703b,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=293f0798-ea5c-4455-9f5d-45f33a30703b,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5893,,5893,293f0798-ea5c-4455-9f5d-45f33a30703b,X'd2a3a351f019744a81629c7d718bae7a',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,293f0798-ea5c-4455-9f5d-45f33a30703b,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=5c82b233-75fc-41b3-ac71-c69592e6bf15,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=5c82b233-75fc-41b3-ac71-c69592e6bf15,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5894,,5894,5c82b233-75fc-41b3-ac71-c69592e6bf15,X'19e5da3dfb30f04f907b634ea6ce485d',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,5c82b233-75fc-41b3-ac71-c69592e6bf15,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=7ffef925-405b-440a-8d58-35e8cd6e98c3,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",container,"CN=7ffef925-405b-440a-8d58-35e8cd6e98c3,CN=Operations,CN=DomainUpdates,CN=System,DC=HAKAN,DC=LOCAL",4,20221018175326.0Z,20221018175326.0Z,,5895,,5895,7ffef925-405b-440a-8d58-35e8cd6e98c3,X'e3b1ae09a72f38478c1c4dea4414236e',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=HAKAN,DC=LOCAL",,,20221018175407.0Z;16010101000001.0Z,,,,,,,,,,,,7ffef925-405b-440a-8d58-35e8cd6e98c3,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
